id,audio_url,title,artist,album,duration,release_year,cover
m_UPqEuPPY0,https://www.youtube.com/watch?v=m_UPqEuPPY0,Cool Kids,Echosmith,Talking Dreams,238,2013.0,https://i.ytimg.com/vi_webp/m_UPqEuPPY0/maxresdefault.webp
bFp0sX1lswk,https://www.youtube.com/watch?v=bFp0sX1lswk,Sage,Ritviz,Ved,230,2019.0,https://i.ytimg.com/vi_webp/bFp0sX1lswk/maxresdefault.webp
uGi-q0irHlE,https://www.youtube.com/watch?v=uGi-q0irHlE,Break Your Heart,"Taio Cruz, Ludacris",Rokstarr,185,2010.0,https://i.ytimg.com/vi_webp/uGi-q0irHlE/maxresdefault.webp
MnYR0fAoH_A,https://www.youtube.com/watch?v=MnYR0fAoH_A,Feelings,"Lauv, Michael Pollack, Ari Leff, Jonathan Simpson, Andrea Rosario",~how i'm feeling~,190,2019.0,https://i.ytimg.com/vi_webp/MnYR0fAoH_A/maxresdefault.webp
N69ZEImqQ60,https://www.youtube.com/watch?v=N69ZEImqQ60,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon, The Fusion Project, Kunaal Vermaa, Mohit Suri, Aditya Roy Kapur, Disha Patani, Anil Kapoor, Kunal Kemmu","Humraah (From ""Malang - Unleash The Madness"")",300,2020.0,https://i.ytimg.com/vi_webp/N69ZEImqQ60/maxresdefault.webp
viTjSjdetU0,https://www.youtube.com/watch?v=viTjSjdetU0,Moves Like Jagger,Maroon 5,"Just Dance Video Game Hits, Vol. 1",202,2016.0,https://i.ytimg.com/vi_webp/viTjSjdetU0/maxresdefault.webp
W5-4EAbWXQU,https://www.youtube.com/watch?v=W5-4EAbWXQU,Come With Me,"Surfaces, salem ilese",Pacifico,210,2021.0,https://i.ytimg.com/vi_webp/W5-4EAbWXQU/maxresdefault.webp
KLBtgOzNAgI,https://www.youtube.com/watch?v=KLBtgOzNAgI,Lover,Diljit Dosanjh,MoonChild Era,190,2021.0,https://i.ytimg.com/vi_webp/KLBtgOzNAgI/maxresdefault.webp
-MxTcyDfKBc,https://www.youtube.com/watch?v=-MxTcyDfKBc,Airplanes (feat. Hayley Williams of Paramore),"B.o.B, Hayley Williams of Paramore",B.o.B Presents: The Adventures of Bobby Ray,180,2010.0,https://i.ytimg.com/vi_webp/-MxTcyDfKBc/maxresdefault.webp
SiRJw4f_ufc,https://www.youtube.com/watch?v=SiRJw4f_ufc,Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",The Papercut Chronicles II,211,2011.0,https://i.ytimg.com/vi_webp/SiRJw4f_ufc/maxresdefault.webp
DxC-PpNdwxo,https://www.youtube.com/watch?v=DxC-PpNdwxo,Where Have You Been,Rihanna,Talk That Talk,243,2011.0,https://i.ytimg.com/vi_webp/DxC-PpNdwxo/maxresdefault.webp
vL14wk2cj6U,https://www.youtube.com/watch?v=vL14wk2cj6U,"Ik Vaari Aa (From ""Raabta"")","Arijit Singh, Pritam, Amitabh Bhattacharya","Ik Vaari Aa (From ""Raabta"")",275,2017.0,https://i.ytimg.com/vi_webp/vL14wk2cj6U/maxresdefault.webp
63yx-xuPry8,https://www.youtube.com/watch?v=63yx-xuPry8,"Vekh Sohneyaa (From ""Call Me Bae"")","Bombay The Artist, Charan",Vekh Sohneyaa,216,2024.0,https://i.ytimg.com/vi_webp/63yx-xuPry8/maxresdefault.webp
NhO5-OUecvY,https://www.youtube.com/watch?v=NhO5-OUecvY,Stargazing,The Neighbourhood,Chip Chrome & The Mono-Tones (Deluxe),217,2020.0,https://i.ytimg.com/vi_webp/NhO5-OUecvY/maxresdefault.webp
6DIuKEWWEg8,https://www.youtube.com/watch?v=6DIuKEWWEg8,Hosanna,"A.R. Rahman, Leon D'souza, Suzanne D'Mello",Ekk Deewana Tha (Original Motion Picture Soundtrack),331,2011.0,https://i.ytimg.com/vi_webp/6DIuKEWWEg8/maxresdefault.webp
0jyeL0fmHRU,https://www.youtube.com/watch?v=0jyeL0fmHRU,Baaraat,Ritviz & Nucleya,Baaraat,222,2021.0,https://i.ytimg.com/vi_webp/0jyeL0fmHRU/maxresdefault.webp
d57qSDCxVA4,https://www.youtube.com/watch?v=d57qSDCxVA4,What Makes You Beautiful,One Direction,Up All Night,200,2011.0,https://i.ytimg.com/vi_webp/d57qSDCxVA4/maxresdefault.webp
9SmSkIDHURQ,https://www.youtube.com/watch?v=9SmSkIDHURQ,Afterlife,Hailee Steinfeld,Afterlife (Dickinson),209,2019.0,https://i.ytimg.com/vi_webp/9SmSkIDHURQ/maxresdefault.webp
qnQCd_nZn_g,https://www.youtube.com/watch?v=qnQCd_nZn_g,O Maahi,"Arijit Singh, Pritam, Irshad Kamil",Dunki,233,2023.0,https://i.ytimg.com/vi_webp/qnQCd_nZn_g/maxresdefault.webp
KWLGyeg74es,https://www.youtube.com/watch?v=KWLGyeg74es,Fireflies,Owl City,Ocean Eyes,228,2009.0,https://i.ytimg.com/vi_webp/KWLGyeg74es/maxresdefault.webp
smKgVuSB18k,https://www.youtube.com/watch?v=smKgVuSB18k,Payphone,"Maroon 5, Wiz Khalifa",Overexposed,231,2012.0,https://i.ytimg.com/vi_webp/smKgVuSB18k/maxresdefault.webp
sJ2cDsopCV4,https://www.youtube.com/watch?v=sJ2cDsopCV4,Nadiyon Sa,Mitraz,Nadiyon Sa,160,2023.0,https://i.ytimg.com/vi_webp/sJ2cDsopCV4/maxresdefault.webp
iKs0WgXjTKI,https://www.youtube.com/watch?v=iKs0WgXjTKI,Gal Mitthi Mitthi,"Amit Trivedi, Tochi Raina",Aisha (Original Motion Picture Soundtrack),256,2010.0,https://i.ytimg.com/vi_webp/iKs0WgXjTKI/maxresdefault.webp
VEYh-CY7jbE,https://www.youtube.com/watch?v=VEYh-CY7jbE,City of Love,"4AM, SoundPatrol, Pardion, Trove",City of Love (feat. Trove),220,2017.0,https://i.ytimg.com/vi_webp/VEYh-CY7jbE/maxresdefault.webp
ewGqIPsA0ig,https://www.youtube.com/watch?v=ewGqIPsA0ig,Get Your Wish,Porter Robinson,Nurture,219,2021.0,https://i.ytimg.com/vi_webp/ewGqIPsA0ig/maxresdefault.webp
Na47bFHJaHQ,https://www.youtube.com/watch?v=Na47bFHJaHQ,Be There,Krewella,,200,,https://i.ytimg.com/vi_webp/Na47bFHJaHQ/maxresdefault.webp
2CgESv5CYUw,https://www.youtube.com/watch?v=2CgESv5CYUw,Lonely,Akon,Trouble,236,2004.0,https://i.ytimg.com/vi_webp/2CgESv5CYUw/maxresdefault.webp
63Lz4gZ6Jkw,https://www.youtube.com/watch?v=63Lz4gZ6Jkw,MAAHI VE,"A.R. RAHMAN, IRSHAD KAMIL",HIGHWAY,241,2014.0,https://i.ytimg.com/vi_webp/63Lz4gZ6Jkw/maxresdefault.webp
